text	date	name
ger000465	1832	Ostermann
ger000465	1832	Tolstoi
ger000465	1832	Therese
ger000465	1832	Anna
ger000465	1832	Katharina
ger000465	1832	Mons
ger000465	1832	Euphrosyne
ger000465	1832	Costa
ger000465	1832	Schepelew
ger000465	1832	Alexis
ger000465	1832	Dentschik
ger000465	1832	Arzt
ger000465	1832	Sekretär 
ger000465	1832	Gordon
ger000526	1819	Schulmeister
ger000526	1819	Gottlieb
ger000526	1819	Traugott
ger000526	1819	Hanstöffel
ger000526	1819	Fritze
ger000526	1819	Gottfried
ger000526	1819	Christlieb
ger000526	1819	Leberecht
ger000526	1819	Benjamin
ger000417	1746	Ulfo
ger000417	1746	Estrithe
ger000417	1746	Gunilde
ger000417	1746	Godewin
ger000417	1746	Canut
ger000417	1746	Haqvin
ger000417	1746	Godschalk
ger000702	1670	Salome
ger000702	1670	Antipater
ger000702	1670	Pheroras
ger000702	1670	Herodes
ger000702	1670	Hyrcanus
ger000702	1670	Josephus
ger000702	1670	Haupt-Mann
ger000702	1670	Mariamne
ger000702	1670	Aristobulus IV.
ger000702	1670	Alexander III.
ger000702	1670	Page
ger000702	1670	Blut-Richter
ger000702	1670	Alexandra
ger000702	1670	Mund-Schenck
ger000702	1670	Davids Geist
ger000702	1670	Sohemus
ger000702	1670	Philo
ger000702	1670	Joab
ger000702	1670	Israel
ger000702	1670	Ezechias
ger000702	1670	Schammaeus
ger000702	1670	Simeon
ger000702	1670	Hillel
ger000702	1670	Ananeel
ger000702	1670	Joschua
ger000702	1670	Nicodemus
ger000702	1670	Jonathan
ger000702	1670	Gamaliel
ger000702	1670	Menahem
ger000702	1670	Arsanes
ger000702	1670	Mariamnes Geist
ger000702	1670	Aristobuli Geist
ger000702	1670	Hyrcani Geist
ger000702	1670	Josephi Geist
ger000702	1670	König Salomos Geist
ger000248	1892	Mariechen
ger000248	1892	Pauline
ger000248	1892	Frau Weidenhammer
ger000248	1892	Rese
ger000248	1892	Meister Oelze
ger000248	1892	Emil
ger000248	1892	Frau Kramer
ger000248	1892	Patschke
ger000662	1780	La Sourdiere
ger000662	1780	Coronis
ger000662	1780	Carondas
ger000662	1780	Dorant
ger000662	1780	La Flesche
ger000662	1780	Herr Jobelin
ger000662	1780	Louischen
ger000662	1780	Frau Jerome
ger000156	1785	Matthes
ger000156	1785	Rudolph
ger000156	1785	Anton
ger000156	1785	Oberförsterin
ger000156	1785	Oberförster
ger000156	1785	Schulz
